Actor_Name,Number_of_Movies,Average_Revenue,Star_Power_Score
Bo Maerten,1,641555930.2,318345741.9612937
Ulrike Butz,1,641555930.2,318345741.9612937
Harald Baerow,1,641555930.2,318345741.9612937
Victoria Koblenko,1,641555930.2,318345741.9612937
Tsubasa Yonaga,1,641318911.8,318306238.894627
Francesca Marie Smith,2,479702352.7,318274746.7096803
Eugène Silvain,1,640844864.0,318227230.92796034
Maria Falconetti,1,640844864.0,318227230.92796034
André Berley,1,640844864.0,318227230.92796034
Justin Hartley,2,479217484.1,318136212.823966
Angeli Khang,9,353781335.1555555,318039324.1405544
Ray Chase,1,638963437.4,317913659.8279604
Lee Majors,1,638719244.4,317872960.994627
Miku Martineau,1,638719244.4,317872960.994627
Tom Vera,1,638719244.4,317872960.994627
Judi Dench,5,382002040.91999996,317852872.61677617
Michael Vegas,1,638332462.6,317808497.3612937
Lena Anderson,1,638332462.6,317808497.3612937
Claudia Lobo,1,638332462.6,317808497.3612937
Casey Calvert,1,638332462.6,317808497.3612937
Éva Ionesco,1,638332462.6,317808497.3612937
Martin Loeb,1,638332462.6,317808497.3612937
Lara Wendel,1,638332462.6,317808497.3612937
Lin Yi,1,638332462.6,317808497.3612937
Shen Yue,1,638332462.6,317808497.3612937
María Renée Prudencio,1,638332462.6,317808497.3612937
Dino García,1,638332462.6,317808497.3612937
Wendie Malick,1,638164005.2,317780421.1279603
Yurika Kubo,1,637885942.8,317734077.394627
Achyuth Kumar,1,637739380.0,317709650.26129365
Malavika Avinash,1,637739380.0,317709650.26129365
Dan Stevens,11,346796978.4727273,317705330.29798514
Yoshitsugu Matsuoka,10,349544063.36,317597277.0111841
Toshiko Fujita,1,636925578.2,317574016.6279603
Yusaku Yara,1,636925578.2,317574016.6279603
Matthias Koeberlin,1,636854441.2,317562160.4612937
Manou Lubowski,1,636854441.2,317562160.4612937
Naike Rivelli,1,636854441.2,317562160.4612937
este borrenlo el otro el que tiene retrato no,1,636679839.4,317533060.1612937
Marisol Aguirre,1,636679839.4,317533060.1612937
Elvira Onetto,1,636679839.4,317533060.1612937
Leslie Shaw,1,636679839.4,317533060.1612937
Maxi Ghione,1,636679839.4,317533060.1612937
Norberto Gonzalo,1,636679839.4,317533060.1612937
Ian McCulloch,1,636679839.4,317533060.1612937
Richard Johnson,1,636679839.4,317533060.1612937
Tisa Farrow,1,636679839.4,317533060.1612937
Jorge Guinzburg,1,636383185.2,317483617.794627
Juan Carlos Mesa,1,636383185.2,317483617.794627
Mariana Fabbiani,1,636383185.2,317483617.794627
Will Forte,2,476846615.29999995,317458821.7382517
Finn Wittrock,1,636226345.4,317457477.8279604
Chiara Aurelia,1,636226345.4,317457477.8279604
Jesse Head,1,635714642.0,317372193.92796034
Tamera Mowry-Housley,2,476204674.0,317275409.93825173
Tia Mowry,2,476204674.0,317275409.93825173
Cameron Boyce,3,423168151.73333335,317252872.0959703
Liliana Mumy,2,475943313.5,317200735.5096803
Cassandra Scerbo,2,475895285.5,317187013.223966
Stan Lee,1,634448192.8,317161119.06129366
Camila Mendes,2,475779681.3,317153983.4525374
Wai Pak,1,633888899.0,317067903.42796034
Mark Dymond,1,633555866.2,317012397.9612937
Clemency Burton-Hill,1,633555866.2,317012397.9612937
Georgia Engel,1,633548698.6,317011203.3612937
Mindy Sterling,1,632965969.8,316914081.894627
Julianne Buescher,1,632965969.8,316914081.894627
Michelle Renaud,2,474548558.5,316802234.08110887
William R. Moses,1,632255438.8,316795660.06129366
Barbara Hale,1,632255438.8,316795660.06129366
Miyuri Shimabukuro,1,632203108.6,316786938.3612937
Chiaki Kobayashi,1,632203108.6,316786938.3612937
Asuka Kudo,1,631871032.6,316731592.3612937
Haruka Fukuhara,1,631871032.6,316731592.3612937
Wendy Glenn,1,631865869.8,316730731.894627
Sam Redford,1,631865869.8,316730731.894627
Jeon So-nee,2,474125529.4,316681368.623966
Ha Ji-won,3,421615894.0,316670775.4459703
Cameron Goodman,1,631443810.4,316660388.6612937
Ben McKenzie,2,473886909.2,316613191.423966
Kim Hong-pa,1,631090763.2,316601547.4612937
Al Sapienza,2,473724318.7,316566736.9953946
José María Resel,1,630793781.0,316552050.42796034
Eliska Ramírez,1,630793781.0,316552050.42796034
Moisés Menéndez,1,630793781.0,316552050.42796034
Brianna Cohen,1,630656413.8,316529155.894627
Zach Meiser,1,630656413.8,316529155.894627
Rachel House,1,630626714.0,316524205.92796034
Stephanie Bennett,2,473295833.5,316444312.65253747
Dawid Ogrodnik,1,629935302.8,316408970.72796035
Beata Zygarlicka,1,629935302.8,316408970.72796035
Piotr Trojan,1,629935302.8,316408970.72796035
Arata Furuta,1,629830598.8,316391520.06129366
Michael J. Woodard,1,629825382.2,316390650.6279603
Mary Lambert,1,629825382.2,316390650.6279603
Sharnee Tones,1,629825382.2,316390650.6279603
Jang Hyuk,6,368580262.23333335,316363644.9970693
Hiroki Goto,1,629573144.8,316348611.06129366
Zofia Domalik,1,629555815.2,316345722.794627
Józef Pawłowski,1,629555815.2,316345722.794627
Szymon Bobrowski,1,629555815.2,316345722.794627
John Hannah,3,420459929.3333333,316237288.6959703
Sheck Wes,1,628779204.4,316216287.6612937
Lorene Scafaria,1,628779204.4,316216287.6612937
Stormi Webster,1,628779204.4,316216287.6612937
Travis Scott,1,628779204.4,316216287.6612937
Rob Guinto,4,394329034.29999995,316203850.9741957
Kim Hye-yoon,1,628681408.4,316199988.3279604
Oh Man-seok,1,628681408.4,316199988.3279604
Haruka Tomatsu,7,360702422.65714294,316119623.3473136
Dwayne Johnson,37,324522493.2432432,316091685.03732765
Andy Samberg,10,347157645.22,316006331.5845175
Miki Narahashi,3,419694866.3333333,315950390.0709703
Michael B. Jordan,14,338125559.55714285,315909281.86146116
Ériq Ebouaney,3,419549065.93333334,315895714.92097026
Jessy Moravec,1,626713614.8,315872022.72796035
Max Hubacher,1,626713614.8,315872022.72796035
Aaron Altaras,1,626713614.8,315872022.72796035
Louise Wallon,1,626174185.2,315782117.794627
Jérôme Deschamps,1,626174185.2,315782117.794627
Yolande Moreau,1,626174185.2,315782117.794627
Barbara Babcock,1,626174185.2,315782117.794627
Erick Avari,1,626174185.2,315782117.794627
French Stewart,1,626174185.2,315782117.794627
Annabeth Gish,3,419178938.2,315756917.0209702
Stephen Fry,1,625891229.0,315734958.42796034
Ed Catmull,1,625891229.0,315734958.42796034
Andrew Stanton,1,625891229.0,315734958.42796034
Richard Baneham,1,625891229.0,315734958.42796034
Suen Tong,1,625891229.0,315734958.42796034
Ben Ngai-Cheung Ng,1,625891229.0,315734958.42796034
Steven Schlozman,1,625891229.0,315734958.42796034
Max Brooks,1,625891229.0,315734958.42796034
Christian Manz,1,625891229.0,315734958.42796034
Jenyne Butterfly,1,625891229.0,315734958.42796034
Elizabeth Mihelich,1,625891229.0,315734958.42796034
John Lasseter,1,625891229.0,315734958.42796034
Sheila Kelley,1,625891229.0,315734958.42796034
Craig T. Nelson,6,367286797.0,315658118.5061602
Victoria Levine,1,625144639.8,315610526.894627
Si Yeong,1,625144639.8,315610526.894627
Justin Berti,1,625144639.8,315610526.894627
Kim Young-sam,1,625144639.8,315610526.894627
Karim Leklou,2,470142753.40000004,315543432.623966
Noémie Lvovsky,3,418609153.2,315543247.6459702
Joel Courtney,5,377376444.32,315540074.3167762
Hong Ye-ji,1,624618913.8,315522905.894627
Kim Mi-hwa,1,624618913.8,315522905.894627
Kim Ji-young,1,624618913.8,315522905.894627
Adal Ramones,2,469935281.0,315484154.79539454
David Henrie,1,623873271.0,315398632.094627
Tom Cruise,39,323290351.2871795,315382777.76744914
Sebastian Spence,1,623397645.0,315319361.094627
Jerry Wasserman,1,623397645.0,315319361.094627
Ken Watanabe,3,417738844.3333333,315216881.8209703
Hadley Robinson,1,622727955.4,315207746.1612937
Lauren Tsai,1,622727955.4,315207746.1612937
Alycia Pascual-Peña,1,622727955.4,315207746.1612937
Lin Yun,3,417622747.93333334,315173345.67097026
Maia Morgenstern,1,622313635.0,315138692.76129365
Christo Jivkov,1,622313635.0,315138692.76129365
Jamie Kennedy,4,391824638.9,315090786.35197353
Sydney Park,2,468438746.6,315056573.53825176
Álex González,1,621721971.2,315040082.1279603
Shannon Whirry,2,468338695.0,315027987.36682314
Takao Ito,1,621285074.8,314967266.06129366
Aiko Nagayama,1,621285074.8,314967266.06129366
Paola Nuñez,2,468115662.5,314964263.79539454
Mitsuko Baisho,1,620494472.2,314835498.9612937
Toshie Negishi,1,620494472.2,314835498.9612937
Michael Bryant,1,620100551.2,314769845.4612937
Melissa Roxburgh,1,619857687.2,314729368.1279603
Susana Zabaleta,2,467244693.6,314715415.53825176
Chosen Jacobs,2,467082909.1,314669191.39539456
Suraj Sharma,1,619310368.0,314638148.26129365
Ayush Tandon,1,619310368.0,314638148.26129365
Irrfan Khan,1,619310368.0,314638148.26129365
Vidyut Jammwal,2,466823143.9,314594972.7668232
Henry Ian Cusick,3,416062210.4666667,314588144.12097025
Jacky Cheung,2,466652559.9,314546234.48110884
Charlotte Alexandra,2,466547503.9,314516218.48110884
Isaac Gonzalez Rossi,1,618529101.8,314507937.22796035
Riley Dandy,1,618529101.8,314507937.22796035
Daniel Edward Mora,1,618529101.8,314507937.22796035
Keiko Kirishima,1,618477530.0,314499341.92796034
Megumi Godai,1,618477530.0,314499341.92796034
Makoto Yoshino,1,618477530.0,314499341.92796034
Alice Dwyer,1,618157116.2,314445939.6279603
Hanns Zischler,1,618157116.2,314445939.6279603
Philip Froissant,1,618157116.2,314445939.6279603
Kat Dovey,1,618157116.2,314445939.6279603
Noriko Hidaka,4,390331268.7,314427066.26308465
Austin Watson,1,617914371.2,314405482.1279603
Kofi Sarkodie-Mensah,1,617914371.2,314405482.1279603
Benjamin Wadsworth,1,617654094.6,314362102.69462705
Ali Gallo,1,617654094.6,314362102.69462705
Brad Johnson,1,616863030.4,314230258.6612937
Kurt Cobain,1,616715972.8,314205749.06129366
Krist Novoselic,1,616715972.8,314205749.06129366
Maurice LaMarche,2,465459627.20000005,314205396.5668231
Riho Iida,1,616543720.6,314177040.3612937
Sei Shiraishi,1,616483742.4,314167043.994627
Mizuki Itagaki,1,616483742.4,314167043.994627
Ukisho Hidaka,1,616483742.4,314167043.994627
Daniel Skelton,1,616295796.0,314135719.594627
Aaron Milo,1,616295796.0,314135719.594627
Basil Eidenbenz,1,616295796.0,314135719.594627
Aggy K. Adams,1,616295796.0,314135719.594627
Bogdan Iancu,1,616295796.0,314135719.594627
Chris Salvatore,1,616295796.0,314135719.594627
Drake Bell,4,389646817.8,314122865.8630847
Raúl Castillo,1,616193305.6,314118637.8612937
Algee Smith,1,616193305.6,314118637.8612937
Heidi Toini,1,615996146.8,314085778.06129366
Karen Black,1,615996146.8,314085778.06129366
Laura Kirchner,1,615996146.8,314085778.06129366
Ben Morrison,1,615996146.8,314085778.06129366
Michael Palladino,1,615996146.8,314085778.06129366
Benjamin Helstad,1,615996146.8,314085778.06129366
Max Greenfield,2,464969395.09999996,314065330.2525374
Akira Sekine,3,414658797.8,314061864.37097025
Tatsuya Nakadai,8,351741464.79999995,314034633.84367394
Mia Isaac,2,464814519.7,314021080.1382517
Evan Whitten,1,615583976.0,314017082.92796034
Roy Abramsohn,1,615402937.8,313986909.894627
Stephanie Pettee,1,615402937.8,313986909.894627
Justin Smith,1,615402937.8,313986909.894627
Krista Allen,2,464292867.90000004,313872036.7668232
Paul Michael Robinson,2,464292867.90000004,313872036.7668232
Dafne Keen,1,614202315.0,313786806.094627
Henry Czerny,2,463947882.7,313773469.5668231
Shelley Long,1,613784274.8,313717132.72796035
Ringo Starr,1,613784274.8,313717132.72796035
Brian d'Arcy James,1,613280132.0,313633108.92796034
Daniel Breaker,1,613280132.0,313633108.92796034
Sutton Foster,1,613280132.0,313633108.92796034
Shiina Natsukawa,1,613028432.6,313591159.02796036
Ayuru Ohashi,1,613028432.6,313591159.02796036
Zhao Jinmai,2,463024478.4,313509639.7668232
Nicolás Francella,2,462905467.6,313475636.68110883
Jeff Burrell,1,612263067.4,313463598.1612937
Toshiki Seto,1,612148818.0,313444556.594627
Astrid S,1,611708903.2,313371237.4612937
Cengiz Al,1,611708903.2,313371237.4612937
Ema Horvath,1,611381558.2,313316679.9612937
Trey Tucker,1,611381558.2,313316679.9612937
Larry the Cable Guy,5,372866773.96,313285239.1367762
Nolan North,5,372861197.4,313282450.8567762
Sophie Cookson,3,412460816.73333335,313237621.4709703
Hiroshi Tsuchida,2,461983250.6,313212146.1096803
Mark Anthony Fernandez,4,387576049.25,313202524.2853069
Jordan El-Balawi,1,610599012.0,313186255.594627
Jonny Coyne,1,610599012.0,313186255.594627
Marco D'Amore,2,461285413.79999995,313012764.16682315
Corbin Allred,1,608925937.8,312907409.894627
David Nibley,1,608925937.8,312907409.894627
Mayo Suzukaze,1,608857282.0,312895967.26129365
Zoë Kravitz,3,411547840.59999996,312895255.42097026
Indiana Evans,1,608762687.2,312880201.4612937
Joey King,10,342442580.98,312862955.4245175
Cecilia Navia,1,608633534.0,312858675.92796034
Manu NNa,1,608633534.0,312858675.92796034
Alejandro Camacho,1,608633534.0,312858675.92796034
Luka Jones,1,608633534.0,312858675.92796034
Melissa Fumero,1,608633534.0,312858675.92796034
David Mann,1,608633534.0,312858675.92796034
Ximena Romo,1,608633534.0,312858675.92796034
Tomy Aguilera,1,608633534.0,312858675.92796034
Jaime Correa,1,608633534.0,312858675.92796034
Amparo Grisales,1,608633534.0,312858675.92796034
Germán Jaramillo,1,608633534.0,312858675.92796034
Ana Brenda Contreras,1,608633534.0,312858675.92796034
Guillermo García,1,608633534.0,312858675.92796034
Nora Navas,1,608383159.4,312816946.8279604
Eman Eido,1,608383159.4,312816946.8279604
Halima Ilter,1,608383159.4,312816946.8279604
Yui Ogura,1,608069992.8,312764752.394627
Yuichiro Umehara,1,608069992.8,312764752.394627
Levy Rico Arcos,1,608028318.4,312757806.6612937
Rafael Luis Klein-Hessling,1,608028318.4,312757806.6612937
Vincent Wiemer,1,608028318.4,312757806.6612937
Ángela Molina,1,607859911.4,312729738.8279604
Masumi Asano,1,607150395.8,312611486.22796035
David Chocarro,2,459556667.0,312518836.5096803
Chad Michael Collins,7,354508345.40000004,312506411.6139802
Tsutomu Isobe,1,606426125.2,312490774.4612937
Dominic Purcell,5,371236566.6,312470135.4567762
Iñigo Etayo,1,606292496.0,312468502.92796034
Jacobo Muñoz,1,606292496.0,312468502.92796034
Eneko Capapay,1,606292496.0,312468502.92796034
Sième Miladi,1,606036971.0,312425915.42796034
Monique van de Ven,1,606036971.0,312425915.42796034
Tonny Huurdeman,1,606036971.0,312425915.42796034
Jake Herbert,1,605767026.8,312380924.72796035
Christine Prouty,1,605767026.8,312380924.72796035
Megumi Hayashibara,14,333292930.40000004,312348397.21935594
Atsushi Abe,2,458866077.4,312321525.1953946
Ben Milliken,1,605369896.4,312314736.3279604
Brad William Henke,1,605369896.4,312314736.3279604
María Abadi,1,605259782.4,312296383.994627
Melisa Garat,1,605259782.4,312296383.994627
Marco de la O,1,605259782.4,312296383.994627
Oliver Nelson,1,605173999.8,312282086.894627
Ameerah Falzon-Ojo,1,605173999.8,312282086.894627
Finn Jones,2,458622949.5,312252060.08110887
Mauricio Castillo,1,604874932.2,312232242.294627
Marcelo Barcelo,1,604874932.2,312232242.294627
Seizō Katō,1,604651607.0,312195021.42796034
Emilia Attías,1,604531768.4,312175048.3279604
Paula Reca,1,604531768.4,312175048.3279604
Drew Van Acker,1,604531768.4,312175048.3279604
Michel Biel,1,604531768.4,312175048.3279604
Silvio Muccino,1,604531768.4,312175048.3279604
Maya Sansa,1,604531768.4,312175048.3279604
Ryu Jun-yeol,3,409552074.73333335,312146843.2209703
Mandy Moore,6,360629203.6000001,312026703.92434204
Shun Oguri,7,353667593.71428573,312015973.1306468
Joshua Dov,1,603489929.2,312001408.4612937
Yonas Kibreab,1,603489929.2,312001408.4612937
Mariana Anghileri,2,457696701.4,311987417.7668232
Rafael Inclán,3,409112559.9333334,311982025.1709703
Lee Min-jung,1,602668824.8,311864557.72796035
Masaki Okada,4,384538631.75,311852560.95197356
Yoon Se-na,4,384496004.9,311833615.6853069
Richard Herd,1,601957369.0,311745981.76129365
Shiori Akita,1,601885747.6,311734044.8612937
Matteo Martari,1,601865262.4,311730630.6612937
Giuseppe Maggio,1,601865262.4,311730630.6612937
Candace Smith,1,601865262.4,311730630.6612937
Matilde Gioli,1,601865262.4,311730630.6612937
Elsa Pataky,1,601622168.2,311690114.9612937
Aaron Glenane,1,601622168.2,311690114.9612937
Sun Yihan,1,601460963.6,311663247.52796036
Han Qiuchi,1,601460963.6,311663247.52796036
Fu Mengbo,1,601460963.6,311663247.52796036
Francis Ng,1,601247524.8,311627674.394627
Joe Ma,1,601247524.8,311627674.394627
Liam Mitchell,1,601247524.8,311627674.394627
Brian Nagel,1,601247524.8,311627674.394627
Sam Lee,1,601247524.8,311627674.394627
Katie Keene,1,601247524.8,311627674.394627
Andrew Staton,1,601247524.8,311627674.394627
Elayne Boosler,1,601130942.4,311608243.994627
Craig Foster,1,601130942.4,311608243.994627
Tom Foster,1,601130942.4,311608243.994627
Rivka Neuman,1,600820848.4,311556561.6612937
Alexander Scourby,1,600820848.4,311556561.6612937
Brian Deacon,1,600820848.4,311556561.6612937
Diana Pang,2,456026026.0,311510081.93825173
John Mills,1,600518976.2,311506249.6279603
Tony Wager,1,600518976.2,311506249.6279603
Kim Sung-kyun,2,455885098.6,311469816.96682316
Danai Gurira,2,455869242.0,311465286.5096803
Sabrina Fest,1,599966189.2,311414118.4612937
Ruby Barrios,1,599966189.2,311414118.4612937
Nerida Bronwen,1,599966189.2,311414118.4612937
Austin Butler,2,455649202.2,311402417.9953946
Luis de Alba,4,383485696.4,311384589.6853069
Kento Yamazaki,4,383354538.9499999,311326297.48530686
Aislinn Derbez,2,455277269.5,311296151.5096803
Kenichi Matsuyama,6,359267117.5333333,311283747.8879783
Louise Bourgoin,2,455024988.8,311224071.3096803
Field Cate,1,598541076.0,311176599.594627
Thomas Law,1,598515843.6,311172394.19462705
Kristine Froseth,3,406910961.0,311156425.5709703
Jean Martin,1,598419966.6,311156414.69462705
Ashley Tisdale,9,343018583.3333333,311120412.25484014
Liv Mjönes,2,454638912.5,311113763.79539454
Kurumi Jôgenji,1,597883933.0,311067075.76129365
Junpei Kusami,1,597883933.0,311067075.76129365
Kim Seong-hwan-I,1,597883933.0,311067075.76129365
Lydia Rose Taylor,1,597825126.0,311057274.594627
James Booth,1,597766709.8,311047538.56129366
Astrid Boner,1,597476926.0,310999241.26129365
Eva Berthold,1,597476926.0,310999241.26129365
Alexandra Bogojevic,1,597476926.0,310999241.26129365
Ra Mi-ran,2,454225984.6,310995784.39539456
Charli XCX,1,597125772.0,310940715.594627
Kenjiro Tsuda,3,406243301.0,310906053.0709703
Sam Riegel,1,596912378.2,310905149.9612937
Wayne Grayson,1,596912378.2,310905149.9612937
Michael Sinterniklaas,1,596912378.2,310905149.9612937
Rainn Wilson,11,336863960.58181816,310876380.4979851
Havana Rose Liu,1,596465139.4,310830610.1612937
Christian Charisiou,1,596440207.4,310826454.8279604
Benson Jack Anthony,1,596440207.4,310826454.8279604
Frances Berry,1,596440207.4,310826454.8279604
Mako Hyoudou,1,596365973.8,310814082.56129366
Keiichi Noda,1,596365973.8,310814082.56129366
Fernanda Castillo,4,382191188.1,310809252.6630847
Benjamin Mascolo,2,453548373.1,310802181.1096803
Tad Hilgenbrink,3,405964390.6666667,310801461.6959703
Tommy Wong,1,595359401.2,310646320.4612937
Jing-Hua Tseng,1,595004425.6,310587157.8612937
Leon Dai,1,595004425.6,310587157.8612937
Edward Chen,1,595004425.6,310587157.8612937
Kay Thompson,1,594575394.8,310515652.72796035
Darren Barnet,1,594575394.8,310515652.72796035
Jimmy O. Yang,1,594575394.8,310515652.72796035
Fred Astaire,1,594575394.8,310515652.72796035
Eiji Akaso,1,594575394.8,310515652.72796035
Keita Machida,1,594575394.8,310515652.72796035
Kodai Asaka,1,594575394.8,310515652.72796035
Akihiko Hirata,2,452538034.5,310513512.93825173
Maria Pitillo,2,452538034.5,310513512.93825173
Emmanuelle Vaugier,3,405152247.5333333,310496908.0209702
Nikita Efremov,1,594334899.0,310475570.094627
Sofia Lebedeva,1,594334899.0,310475570.094627
Crystal Fox,1,594185520.2,310450673.6279603
L. Scott Caldwell,2,451606567.5,310247379.5096803
Alan Shearman,1,592951115.4,310244939.494627
Carter Hastings,1,592951115.4,310244939.494627
Nicholas Galitzine,4,380890051.5,310230969.72975135
Steffan Argus,1,592783137.6,310216943.19462705
Christoph Maria Herbst,1,592706910.2,310204238.6279603
Rick Kavanian,1,592706910.2,310204238.6279603
Michael Herbig,1,592706910.2,310204238.6279603
Zhang Yi,3,404353125.3333333,310197237.1959703
David Corenswet,2,451426323.7,310195881.28110886
Kim Young-kwang,2,451365500.3,310178503.16682315
Kiriko Shimizu,2,451278968.2,310153779.7096803
Ayaka Nanase,1,592133862.2,310108730.6279603
Álvaro Morte,2,451044603.20000005,310086818.28110886
Ennio Fantastichini,1,591824588.0,310057184.92796034
Tobias Moretti,1,591824588.0,310057184.92796034
Stefania Rivi,1,591824588.0,310057184.92796034
Charles Baker,1,591713267.4,310038631.494627
Um Tae-goo,1,591713267.4,310038631.494627
Loretto Bernal,1,591573175.2,310015282.794627
Itatí Cantoral,1,591573175.2,310015282.794627
Diana Del Bufalo,1,591573175.2,310015282.794627
Alfredo Pea,1,591573175.2,310015282.794627
Sabrina Impacciatore,1,591573175.2,310015282.794627
Margherita Buy,1,591573175.2,310015282.794627
Lucio Como,1,591573175.2,310015282.794627
Maria Pia Conte,1,591573175.2,310015282.794627
Vittorio Caprioli,1,591573175.2,310015282.794627
Jerry Velazquez,1,591573175.2,310015282.794627
Mario Pisu,1,591573175.2,310015282.794627
Duilio Del Prete,1,591573175.2,310015282.794627
Maxime Durand,1,591557010.2,310012588.6279603
Holly Earl,1,591557010.2,310012588.6279603
Catherine Hannay,1,591557010.2,310012588.6279603
Alan Dale,1,591465525.2,309997341.1279603
Gillian White,1,591454740.2,309995543.6279603
Josh Barnett,1,591454740.2,309995543.6279603
Nick Sagar,2,450696941.29999995,309987486.3096803
Katie Crown,3,403743270.06666666,309968541.4709703
Sam Palladio,3,403740856.5333333,309967636.3959702
Josh Gad,9,341203497.35555553,309953571.2691259
Ciara Riley Wilson,1,590920307.4,309906471.494627
Sadie Stanley,1,590920307.4,309906471.494627
Ginnifer Goodwin,5,366101653.48,309902678.8967762
Dean Ridge,1,590859548.2,309896344.9612937
Ross O'Hennessy,1,590859548.2,309896344.9612937
Kezia Burrows,1,590859548.2,309896344.9612937
Sara Ramirez,1,590853673.0,309895365.76129365
Ben Cross,5,366070640.67999995,309887172.49677616
Kento Nakajima,2,450174830.1,309838311.68110883
Chico Marx,1,590317034.4,309805925.994627
Groucho Marx,1,590317034.4,309805925.994627
Harpo Marx,1,590317034.4,309805925.994627
Naoya Uchida,1,590203752.2,309787045.6279603
Evaluna Montaner,1,590203752.2,309787045.6279603
Sebastián Villalobos,1,590203752.2,309787045.6279603
Harry Lloyd,1,590200773.2,309786549.1279603
Danny Denzongpa,1,590072388.8,309765151.72796035
Carol Cheng,1,589784229.4,309717125.1612937
Eva Cobo,1,589784229.4,309717125.1612937
Kenji Haga,1,589458929.8,309662908.56129366
Kôjiro Shimizu,1,589458929.8,309662908.56129366
Alena Doletskaya,1,589285934.8,309634076.06129366
Aleksey Chumakov,1,589285934.8,309634076.06129366
Ryota Katayose,1,589212649.0,309621861.76129365
Jung Jae-won,1,588699039.2,309536260.1279603
Lee Do-ha,1,588699039.2,309536260.1279603
Ines Høysæter Asserson,1,588699039.2,309536260.1279603
Veslemøy Mørkrid,1,588699039.2,309536260.1279603
Bettina Kenney,1,588649044.6,309527927.69462705
Julian Maroun,1,588649044.6,309527927.69462705
Margot Nuccetelli,1,588649044.6,309527927.69462705
Trevor Tordjman,3,402262834.20000005,309413378.0209703
Thorbjørn Harr,1,587720958.2,309373246.6279603
Gitte Witt,1,587720958.2,309373246.6279603
Larmina El Akmar Betouche,1,587519945.2,309339744.4612937
alias OSS 117,1,587519945.2,309339744.4612937
William Hanna,1,587489065.0,309334597.76129365
Bryan Cranston,12,332397574.25,309252318.38633895
Alejandro Calva,1,586907459.0,309237663.42796034
Flavio Medina,1,586907459.0,309237663.42796034
Renata Notni,1,586907459.0,309237663.42796034
Claudia Álvarez,1,586907459.0,309237663.42796034
Chai Fonacier,1,586323916.4,309140406.3279604
Chang Kuo-Chu,1,586258742.2,309129543.9612937
Lisa Yang,1,586258742.2,309129543.9612937
Laila Berzins,2,447681862.29999995,309126035.16682315
Jean-Pierre Léaud,2,447595016.5,309101222.08110887
Sayaka Ohara,2,447506245.4,309075858.90968025
Michael Jai White,11,334231625.67272735,309066650.2479852
Christoph Sanders,1,585808333.0,309054475.76129365
Eddie Cibrian,1,585808333.0,309054475.76129365
Jessica Lowndes,1,585750349.2,309044811.794627
Dennis Andres,1,585750349.2,309044811.794627
Booboo Stewart,3,401035373.0,308953080.0709703
Harrison Ford,29,318316424.9241379,308814554.2461106
Ayaka Asai,2,446395756.8,308758576.4525374
Isarco Ravaioli,1,583921229.0,308739958.42796034
Mirella Rossi,1,583921229.0,308739958.42796034
Mugi Kadowaki,1,583921229.0,308739958.42796034
Dino Strano,1,583921229.0,308739958.42796034
Jeff Kober,1,583921229.0,308739958.42796034
Donna Murphy,1,583777242.0,308715960.594627
Micheline Dax,1,583501475.2,308669999.4612937
Mike Tyson,2,445937837.1,308627742.2525374
Tiera Skovbye,2,445868385.5,308607898.93825173
America Ferrera,6,354358178.5333333,308606144.79706925
Mutsumi Tamura,1,583004188.8,308587118.394627
Gol D.,1,582632450.4,308525161.994627
Talulah Riley,2,445536055.5,308512947.5096803
Henry Lawfull,1,582324380.4,308473816.994627
Fan Wei,1,582164601.2,308447187.1279603
Kendrick Sampson,1,582164601.2,308447187.1279603
Vision Wei,1,582164601.2,308447187.1279603
Adrian Greensmith,1,582137998.4,308442753.3279604
Isis Hainsworth,1,582137998.4,308442753.3279604
Nóra Trokán,1,581972415.8,308415156.22796035
Manuel de Blas,1,581972415.8,308415156.22796035
Rosa Valenty,1,581972415.8,308415156.22796035
Sandra Wey,1,581972415.8,308415156.22796035
Zsolt Kovács,1,581972415.8,308415156.22796035
Péter Jankovics,1,581972415.8,308415156.22796035
Hanna Zetterberg,1,581955655.8,308412362.894627
Börje Ahlstedt,1,581955655.8,308412362.894627
Dan Håfström,1,581955655.8,308412362.894627
Julie Lee,1,581650039.2,308361426.794627
Yau Kwong Chen,1,581428834.0,308324559.26129365
Elsie Chan,1,581428834.0,308324559.26129365
Asjha Cooper,2,444704410.9,308275334.7668232
Adalberto Martínez,1,581124959.8,308273913.56129366
Sergio Goyri,1,581124959.8,308273913.56129366
Len Wein,1,580810039.6,308221426.8612937
Kobe Bryant,1,580810039.6,308221426.8612937
Carmelo Anthony,1,580810039.6,308221426.8612937
Riyoko Ikeda,1,580810039.6,308221426.8612937
Úrsula Corberó,1,580810039.6,308221426.8612937
Itziar Ituño,1,580810039.6,308221426.8612937
Fernando Henrique Cardoso,1,580810039.6,308221426.8612937
Gilberto Gil,1,580810039.6,308221426.8612937
Dan Didio,1,580810039.6,308221426.8612937
Margareta Krantz,1,580810039.6,308221426.8612937
Benedita da Silva,1,580810039.6,308221426.8612937
Chris Connelly,1,580810039.6,308221426.8612937
Björn Andrésen,1,580810039.6,308221426.8612937
Meaghan Jette Martin,2,444499608.5,308216819.79539454
Tatsuhisa Suzuki,2,444486881.7,308213183.5668231
Nicola Wright,2,444451775.4,308203153.1953946
Im Chang-jung,1,580471102.4,308164937.3279604
Jin Jae-young,1,580471102.4,308164937.3279604
